period;LOC;lat;lon;Filename
Conflict (2006-2011);Sucre, Sucre;8.916538147248733;-74.72682304315609;5
Conflict (2006-2011);Supía, Caldas;5.45589;-75.65040100000002;4
Conflict (2006-2011);Tadó, Córdoba;5.2649419;-76.55943300000001;5
Conflict (2006-2011);Tamalameque, Cesar;8.861748;-73.810756;3
Conflict (2006-2011);Tame, Arauca;6.4586679;-71.73477369999999;14
Conflict (2006-2011);Tibú, Norte de Santander;8.642356;-72.73773299999999;6
Conflict (2006-2011);Tierralta, Córdoba;8.171571;-76.062313;13
Conflict (2006-2011);Timbiquí, Cauca;2.777744;-77.66760599999999;2
Conflict (2006-2011);Timbiquí, Quindío;2.777744;-77.66760599999999;3
Conflict (2006-2011);Tiquisio, Norte de Santander;8.5555864;-74.26470429999999;7
Conflict (2006-2011);Tolu, Sucre;9.527477;-75.5812215;2
Conflict (2006-2011);Toluviejo, Sucre;9.452849;-75.4391349;5
Conflict (2006-2011);Tolú, Sucre;9.527477;-75.5812215;5
Conflict (2006-2011);Toribio, Cauca;2.9562909;-76.2704;7
Conflict (2006-2011);Tuluá, Valle del Cauca;4.089869;-76.1914991;9
Conflict (2006-2011);Tumaco, Nariño;1.787434;-78.791265;9
Conflict (2006-2011);Turbaco, Bolívar;10.334638;-75.412672;10
Conflict (2006-2011);Turbo, Quindío;4.4610191;-75.667356;4
Conflict (2006-2011);Umbita, Nariño;5.22138;-73.45687;12
Conflict (2006-2011);Unguía, Chocó;8.041038799999999;-77.093099;16
Conflict (2006-2011);Uribe, Meta;3.239241;-74.350661;6
Conflict (2006-2011);Uribia, La Guajira;11.7149978;-72.26593910000001;7
Conflict (2006-2011);Valaparaiso, Caquetá;1.1951639;-75.70532399999999;2
Conflict (2006-2011);Valencia, Valle del Cauca;3.8008893;-76.64127119999999;5
Conflict (2006-2011);Valledupar, Cesar;10.4742449;-73.2436335;10
Conflict (2006-2011);Valledupar, Valle del Cauca;4.18049;-77.16171;2
Conflict (2006-2011);ValparaísoAlbania, Caquetá;0.869892;-73.8419063;7
Conflict (2006-2011);Venecia, Cundinamarca;4.089014;-74.4779102;1
Conflict (2006-2011);Victoria, Vaupés;0.8553561;-70.81199529999999;1
Conflict (2006-2011);Vigía del Fuerte, Quindío;6.588654099999999;-76.896277;2
Conflict (2006-2011);Villa de Rosario, Norte de Santander;7.8437879;-72.46968970000002;17
Conflict (2006-2011);Villavicencio, Meta;4.1491688;-73.6285475;6
Conflict (2006-2011);Vista Hermosa, Meta;3.127883;-73.752512;13
Conflict (2006-2011);Zaragoza, Quindío;4.4610191;-75.667356;5
Conflict (2006-2011);Zona Bananera, Magdalena;10.7922447;-74.1709702;5
