LOC;lat;lon;Filename
Ibagué, Tolima;4.444675999999999;-75.24243799999999;3
Icononzo, Tolima;4.17645;-74.531723;13
Inírida, Guainía;3.8702044;-67.92433609999999;1
Iscuande, Nariño;2.4505212;-77.98026930000002;7
Iscuandé, Nariño;2.4505212;-77.98026930000002;5
Istmina, Chocó;5.157448899999999;-76.6880899;37
Itagui, Quindío;4.4610191;-75.667356;1
Ituango, Antioquia;7.1722236;-75.764398;30
Ituango, Quindío;7.1722236;-75.764398;14
Íquira, Huila;2.649516;-75.635076;3
Jambaló, Cauca;2.7768879;-76.3247615;22
Jardín, Antioquia;5.598813199999999;-75.8198172;4
Jericó, Boyacá;6.146030000000001;-72.57065399999999;11
Juradó, Chocó;7.102626;-77.762046;27
La Apartada, Córdoba;8.048048999999999;-75.33410099999999;13
La Chorrera, Amazonas;-1.443383;-72.788945;2
La Dorada, Caldas;5.472709;-74.66798399999999;4
La Gloria, Cesar;8.6180139;-73.80227719999999;3
La Guadalupe, Guainía;1.3648401;-67.04645909999999;1
La Llanada, Nariño;1.472852;-77.5798499;12
La Macarena, Meta;2.1831929;-73.7843783;55
La Montañita, Caquetá;1.4342295;-75.3878525;11
La Paz, Cesar;10.3868315;-73.1706425;5
La Pedrera, Amazonas;-1.3220043;-69.578386;12
La Primavera, Vichada;5.4915919;-70.4139951;9
La Salina, Casanare;6.1281064;-72.3343478;12
La Salina, Nariño;1.2897467;-77.3580033;10
La Tebaida, Quindío;4.453588;-75.79153;14
La Tola, Nariño;2.399572;-78.189712;49
La Unión, Valle del Cauca;4.529822999999999;-76.1088001;16
La Victoria, Amazonas;-0.1060558;-71.1448516;5
La Victoria, Vaupés;0.8553561;-70.81199529999999;1
La Virginia, Risaralda;4.9019631;-75.88444020000001;6
Labranzagrande, Boyacá;5.562762999999999;-72.57762799999999;4
Leguízamo, Putumayo;-0.185957;-74.78366;5
Leiva, Nariño;1.9354157;-77.3035623;26
Lejanías, Meta;3.5272204;-74.022413;13
Litoral de San Juan, Chocó;4.2006777;-76.7336521;2
Lloró, Chocó;5.499682;-76.542596;5
Lorica, Córdoba;9.2376398;-75.81362450000002;20
Los Andes, Nariño;1.4937224;-77.5213227;12
Los Patios, Norte de Santander;7.833199;-72.504392;19
Los Patios, Santander;7.8328574308121075;-72.50490863729128;6
Lérida, Tolima;4.8658613;-74.89749250000001;2
Líbano, Córdoba;9.30001;-75.88333999999999;5
Líbano, Tolima;4.9224602;-75.0642244;2
López de Micay, Cauca;2.8458039;-77.24803899999999;2
López de Micay, Quindío;2.8458039;-77.24803899999999;3
López, Meta;4.129390111599738;-73.62940173168514;5
Maceo, Antioquia;6.551367;-74.787294;21
Magangué, Magdalena;9.2414156;-74.7527587;3
Magui Payán, Nariño;1.7658466;-78.1838239;3
Maguí Payán, Nariño;1.7658466;-78.1838239;22
Maicao, La Guajira;11.3800543;-72.2422465;13
Maicaol, La Guajira;11.3800543;-72.2422465;5
Majagual, Sucre;8.4865278;-74.7337069;9
Malambo, Atlántico;10.8575824;-74.7746834;40
Manizales, Risaralda;5.0629743;-75.5027698;21
Maní, Nariño;1.2897467;-77.3580033;12
Maní, Risaralda;5.315847499999999;-75.9927652;21
Mapiripán, Meta;2.892506;-72.13317500000001;70
Marquetalia, Caldas;5.300064;-75.051548;2
María la Baja, Bolívar;9.983431500000002;-75.30223749999999;4
Medellín, Antioquia;6.2476376;-75.56581530000001;38
Medellín, Antioquia;6.2476376;-75.56581530000001;5
Medellín, Quindío;6.2476376;-75.56581530000001;63
Medio Atrato, Chocó;5.989716400000001;-76.7336521;21
Medio Atrato, Quindío;5.989716400000001;-76.7336521;2
Medio Baudó, Chocó;5.1334095;-76.964306;56
Medio San Juan, Chocó;5.6914548;-76.65897939999999;37
Mesetas, Meta;3.381995;-74.043801;25
Milán, Caquetá;1.33546;-75.51080999999999;10
Miraflores, Guaviare;1.337454;-71.950914;38
Miranda, Cauca;3.2135542;-76.2131474;2
Miranda, Valle del Cauca;3.2135542;-76.2131474;9
Mirití-Parana, Amazonas;-1.205904;-69.887903;5
Mistrató, Risaralda;5.2962025;-75.88155549999999;12
Mitú, Vaupés;1.2521739;-70.23361799999999;29
Montañita, Caquetá;1.4342295;-75.3878525;10
Montecristo, Bolívar;8.294838;-74.4750948;3
Montecristo, Cauca;2.57301;-76.77915999999999;16
Montelíbano, Córdoba;7.976803;-75.417209;85
Montenegro, Quindío;4.566637;-75.75012;14
Montería, Córdoba;8.750983;-75.8785348;3
Montería, Córdoba;8.750983;-75.8785348;25
Morales, Bolívar;8.27533;-73.86817599999999;17
Mosquera, Nariño;2.50923;-78.451284;26
Moñitos, Córdoba;9.246122699999999;-76.1316984;20
Murillo, Tolima;3.80419;-74.94281;1
Murindó, Antioquia;6.976297;-76.81975;3
Mutatá, Quindío;7.361357399999999;-76.5025742;11
Nariño, Nariño;1.289151;-77.35794000000001;25
Nechí, Cauca;8.0909315;-74.77964659999999;10
Nechí, Quindío;8.0909315;-74.77964659999999;10
Neiva, Huila;2.9344837;-75.2809001;2
Norcasia, Caldas;5.576269;-74.889557;2
Norosí, Bolívar;8.528027;-74.037018;21
Norosí, Norte de Santander;7.9462831;-72.8988069;7
Nuquí, Chocó;5.709563;-77.2666969;26
Nóvita, Chocó;4.956167;-76.60734900000001;23
Ocaña, Norte de Santander;8.252049999999999;-73.3532199;8
Ocaña, Norte de Santander;8.252049999999999;-73.3532199;5
Olaya Herrera, Nariño;2.2772880621602263;-78.31589372202436;49
Olaya, Nariño;2.2740962;-78.3159411;1
Orito, Putumayo;0.6766344999999999;-76.87960609999999;19
Ovejas, Sucre;9.525146;-75.2296693;1
Pacoa, Vaupés;0.1410295;-70.6216794;19
Pailitas, Cesar;8.959667;-73.626268;7
Palmar, Chocó;8.360035511409237;-77.10802946234729;11
Palmira, Valle del Cauca;3.5379718;-76.2971657;5
Palocabildo, Tolima;5.119358;-75.023736;2
Pandi, Cundinamarca;4.19065;-74.486751;20
Panqueba, Boyacá;6.4426733;-72.4594939;11
Papunahua, Vaupés;1.8028463;-70.7168469;5
Papunaua, Vaupés;1.8028463;-70.7168469;5
Paratebueno, Cundinamarca;4.3746917;-73.2120879;4
Pasca, Cundinamarca;4.308498;-74.299995;20
Patía, Cauca;2.1482437;-77.0794705;3
Paya, Boyacá;5.6260229;-72.4221792;4
Paya, Nariño;1.2897467;-77.3580033;14
Paz de Ariporo, Casanare;5.880639;-71.892912;9
Paz de Ariporo, Nariño;5.880639;-71.892912;2
Pelaya, Cesar;8.688030999999999;-73.666377;5
Pensilvania, Caldas;5.38211;-75.16142599999999;3
Peque, Antioquia;7.021420099999999;-75.9088137;11
Peque, Quindío;4.4610191;-75.667356;6
Pereira, Risaralda;4.8087174;-75.690601;38
Piamonte, Cauca;1.2155968;-76.4100267;1
Piamonte, Putumayo;1.2155968;-76.4100267;13
Piedecuesta, Antioquia;6.991539;-73.05399799999999;20
Pijao, Quindío;4.334346099999999;-75.7036308;18
Pisba, Boyacá;5.722797;-72.48457499999999;4
Planadas, Tolima;3.1207486;-75.8533954;19
Planeta Rica, Córdoba;8.412749;-75.584048;16
Plato, Magdalena;9.791337;-74.7975249;7
Playa de Belén, Norte de Santander;8.274846799999999;-73.2057595;5
Policarpa, Nariño;1.6289529;-77.4592061;27
Pradera, Valle del Cauca;3.4195763;-76.24053119999999;26
Pueblo Bello, Cesar;10.43458;-73.5829689;18
Pueblo Bello, Valle del Cauca;3.8008893;-76.64127119999999;2
Pueblo Nuevo, Córdoba;8.503178;-75.5075239;16
