clean_NNAJ_actors|Departamento|Filename|Year|categoria|place|LOC|lat|lon|period
Grupos Posdesmovilización|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Barranquilla|Barranquilla, Atlántico|11.0041072|-74.80698129999999|Post-Agreement (2017-2022)
Grupos Posdesmovilización|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Galapa|Galapa, Atlántico|10.8996383|-74.88618819999999|Post-Agreement (2017-2022)
Grupos Posdesmovilización|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Malambo|Malambo, Atlántico|10.8575824|-74.7746834|Post-Agreement (2017-2022)
Grupos Posdesmovilización|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Soledad|Soledad, Atlántico|10.9215472|-74.7688173|Post-Agreement (2017-2022)
Grupos Posdesmovilización|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Colombia|Colombia, Atlántico|10.6966159|-74.8741045|Post-Agreement (2017-2022)
Grupos Posdesmovilización|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Puerto Colombia|Puerto Colombia, Atlántico|11.001004|-74.950761|Post-Agreement (2017-2022)
Niñas Adolescentes|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018||Barranquilla|Barranquilla, Atlántico|11.0041072|-74.80698129999999|Post-Agreement (2017-2022)
Niñas Adolescentes|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018||Galapa|Galapa, Atlántico|10.8996383|-74.88618819999999|Post-Agreement (2017-2022)
Niñas Adolescentes|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018||Malambo|Malambo, Atlántico|10.8575824|-74.7746834|Post-Agreement (2017-2022)
Niñas Adolescentes|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018||Soledad|Soledad, Atlántico|10.9215472|-74.7688173|Post-Agreement (2017-2022)
